person,person_url,universities_category,key,value
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,known_for,* ''PiHKAL''
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,known_for,* ''TiHKAL''
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,known_for,* Họ 2C
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,known_for,* Họ DOx
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,known_for,* Nhiều phenethylamine
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,known_for,* Shulgin Index
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,known_for,* Shulgin Rating Scale
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,known_for,* Shulgin Research Institute
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,known_for,* Tái phát hiện MDMA
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,known_for,tryptamine
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,known_for,{{Plainlist|
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,known_for,}}
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,name,Alexander Shulgin
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,workplaces,* Bio-Rad Laboratories
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,workplaces,* Cognitive Liberty/Ethics Centre
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,workplaces,* Dow Chemical
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,workplaces,* Hải quân Hoa Kỳ
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,workplaces,* MAPS
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,workplaces,* San Francisco General Hospital
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,workplaces,* San Francisco State University
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,workplaces,{{Plainlist|
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,workplaces,}}
