from,to,type,weight
John Kasich,Đại học Tiểu bang Ohio,alumni_of,1
John O. Brennan,Đại học Texas tại Austin,alumni_of,1
Boris Tadić,Đại học Beograd,alumni_of,1
Hồ Cẩm Đào,Đại học Thanh Hoa,alumni_of,1
Nguyễn Minh Triết,Trường Đại học Khoa học Sài Gòn,alumni_of,1
Nguyễn Minh Triết,Học viện Chính trị Quốc gia Hồ Chí Minh,alumni_of,1
Ivan Logginovich Goremykin,Trường Luật học Đế quốc,alumni_of,1
Boris Nikolayevich Yeltsin,Đại học Công nghệ Quốc gia Ural,alumni_of,1
Georgy Maksimilianovich Malenkov,Đại học Kỹ thuật Quốc gia Moskva Bauman,alumni_of,1
Yegor Timurovich Gaidar,Đại học Quốc gia Moskva Lomonosov,alumni_of,1
Yevgeny Maksimovich Primakov,Đại học Quốc gia Moskva,alumni_of,1
Ehud Olmert,Đại học Hebrew của Jerusalem,alumni_of,1
Chaim Herzog,Đại học London,alumni_of,1
