src_person,dst_person,relation,count
Armand Fallières,Habib Bourguiba,SHARED_UNI,1
Armand Fallières,Henri Bergson,SHARED_UNI,1
Armand Fallières,Jacques-Louis David,SHARED_UNI,1
Armand Fallières,Jean Casimir-Perier,SHARED_UNI,1
Armand Fallières,Jean-Luc Godard,SHARED_UNI,1
Armand Fallières,John Turner,SHARED_UNI,1
Armand Fallières,Michel Debré,SHARED_UNI,1
Armand Fallières,Miguel Ángel Asturias,SHARED_UNI,1
Armand Fallières,Paul Deschanel,SHARED_UNI,1
Armand Fallières,Paul Doumer,SHARED_UNI,1
Armand Fallières,Pierre Mendès France,SHARED_UNI,1
Armand Fallières,Raymond Poincaré,SHARED_UNI,1
Armand Fallières,Saionji Kinmochi,SHARED_UNI,1
Armand Fallières,Émile Loubet,SHARED_UNI,1
Carole Bouquet,Charles-Maurice de Talleyrand-Périgord,SHARED_UNI,1
Carole Bouquet,Edvard Beneš,SHARED_UNI,1
Carole Bouquet,François Mitterrand,SHARED_UNI,1
Carole Bouquet,Gaston Doumergue,SHARED_UNI,1
Carole Bouquet,Habib Bourguiba,SHARED_UNI,1
Carole Bouquet,Henri Bergson,SHARED_UNI,1
Carole Bouquet,Jacques-Louis David,SHARED_UNI,1
Carole Bouquet,Jean Casimir-Perier,SHARED_UNI,1
Carole Bouquet,Jean-Luc Godard,SHARED_UNI,1
Carole Bouquet,John Turner,SHARED_UNI,1
Carole Bouquet,Michel Debré,SHARED_UNI,1
Carole Bouquet,Miguel Ángel Asturias,SHARED_UNI,1
Carole Bouquet,Paul Deschanel,SHARED_UNI,1
Carole Bouquet,Paul Doumer,SHARED_UNI,1
Carole Bouquet,Pierre Mendès France,SHARED_UNI,1
Carole Bouquet,Raymond Poincaré,SHARED_UNI,1
Carole Bouquet,Saionji Kinmochi,SHARED_UNI,1
Carole Bouquet,Émile Loubet,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,Edvard Beneš,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,François Mitterrand,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,Gaston Doumergue,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,Habib Bourguiba,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,Henri Bergson,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,Jacques-Louis David,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,Jean Casimir-Perier,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,Jean-Luc Godard,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,John Turner,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,Michel Debré,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,Miguel Ángel Asturias,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,Paul Deschanel,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,Paul Doumer,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,Pierre Mendès France,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,Raymond Poincaré,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,Saionji Kinmochi,SHARED_UNI,1
Charles-Maurice de Talleyrand-Périgord,Émile Loubet,SHARED_UNI,1
Edvard Beneš,François Mitterrand,SHARED_UNI,1
Edvard Beneš,Gaston Doumergue,SHARED_UNI,1
Edvard Beneš,Habib Bourguiba,SHARED_UNI,1
Edvard Beneš,Henri Bergson,SHARED_UNI,1
Edvard Beneš,Jacques-Louis David,SHARED_UNI,1
Edvard Beneš,Jean Casimir-Perier,SHARED_UNI,1
Edvard Beneš,Jean-Luc Godard,SHARED_UNI,1
Edvard Beneš,John Turner,SHARED_UNI,1
Edvard Beneš,Michel Debré,SHARED_UNI,1
Edvard Beneš,Miguel Ángel Asturias,SHARED_UNI,1
Edvard Beneš,Paul Deschanel,SHARED_UNI,1
Edvard Beneš,Paul Doumer,SHARED_UNI,1
Edvard Beneš,Pierre Mendès France,SHARED_UNI,1
Edvard Beneš,Raymond Poincaré,SHARED_UNI,1
Edvard Beneš,Saionji Kinmochi,SHARED_UNI,1
Edvard Beneš,Émile Loubet,SHARED_UNI,1
François Mitterrand,Gaston Doumergue,SHARED_UNI,1
François Mitterrand,Habib Bourguiba,SHARED_UNI,1
François Mitterrand,Henri Bergson,SHARED_UNI,1
François Mitterrand,Jacques-Louis David,SHARED_UNI,1
François Mitterrand,Jean Casimir-Perier,SHARED_UNI,1
François Mitterrand,Jean-Luc Godard,SHARED_UNI,1
François Mitterrand,John Turner,SHARED_UNI,1
François Mitterrand,Miguel Ángel Asturias,SHARED_UNI,1
François Mitterrand,Paul Deschanel,SHARED_UNI,1
François Mitterrand,Paul Doumer,SHARED_UNI,1
François Mitterrand,Pierre Mendès France,SHARED_UNI,1
François Mitterrand,Raymond Poincaré,SHARED_UNI,1
François Mitterrand,Saionji Kinmochi,SHARED_UNI,1
François Mitterrand,Émile Loubet,SHARED_UNI,1
Gaston Doumergue,Habib Bourguiba,SHARED_UNI,1
Gaston Doumergue,Henri Bergson,SHARED_UNI,1
Gaston Doumergue,Jacques-Louis David,SHARED_UNI,1
Gaston Doumergue,Jean Casimir-Perier,SHARED_UNI,1
Gaston Doumergue,Jean-Luc Godard,SHARED_UNI,1
Gaston Doumergue,John Turner,SHARED_UNI,1
Gaston Doumergue,Michel Debré,SHARED_UNI,1
Gaston Doumergue,Miguel Ángel Asturias,SHARED_UNI,1
Gaston Doumergue,Paul Deschanel,SHARED_UNI,1
Gaston Doumergue,Paul Doumer,SHARED_UNI,1
Gaston Doumergue,Pierre Mendès France,SHARED_UNI,1
Gaston Doumergue,Raymond Poincaré,SHARED_UNI,1
Gaston Doumergue,Saionji Kinmochi,SHARED_UNI,1
Gaston Doumergue,Émile Loubet,SHARED_UNI,1
Habib Bourguiba,Henri Bergson,SHARED_UNI,1
Habib Bourguiba,Jacques-Louis David,SHARED_UNI,1
Habib Bourguiba,Jean Casimir-Perier,SHARED_UNI,1
Habib Bourguiba,Jean-Luc Godard,SHARED_UNI,1
Habib Bourguiba,John Turner,SHARED_UNI,1
Habib Bourguiba,Michel Debré,SHARED_UNI,1
Habib Bourguiba,Miguel Ángel Asturias,SHARED_UNI,1
Habib Bourguiba,Paul Deschanel,SHARED_UNI,1
Habib Bourguiba,Paul Doumer,SHARED_UNI,1
Habib Bourguiba,Pierre Mendès France,SHARED_UNI,1
